Uso da CPU (%),Data e Hora,Nome do Programa
9.16,"2024-10-05 19:03:21.089374900 -03:00",msedgewebview2.exe
31.07,"2024-10-05 19:03:21.221484100 -03:00",RuntimeBroker.exe
12.77,"2024-10-05 19:03:21.877082500 -03:00",Taskmgr.exe
12.18,"2024-10-05 19:03:22.107818 -03:00",msedgewebview2.exe
10.43,"2024-10-05 19:03:22.239831400 -03:00",msedgewebview2.exe
7.17,"2024-10-05 19:03:22.891156100 -03:00",msedgewebview2.exe
7.02,"2024-10-05 19:03:23.127525 -03:00",monitor_cpu.exe
41.04,"2024-10-05 19:03:23.162822700 -03:00",svchost.exe
7.85,"2024-10-05 19:03:23.256801600 -03:00",Taskmgr.exe
10.94,"2024-10-05 19:03:23.907482500 -03:00",msedgewebview2.exe
10.22,"2024-10-05 19:03:24.147668 -03:00",Taskmgr.exe
10.42,"2024-10-05 19:03:24.180876900 -03:00",Taskmgr.exe
9.53,"2024-10-05 19:03:24.276802 -03:00",msedgewebview2.exe
7.76,"2024-10-05 19:03:24.922866700 -03:00",audiodg.exe
14.97,"2024-10-05 19:03:25.179550700 -03:00",monitor_cpu.exe
16.15,"2024-10-05 19:03:25.207879300 -03:00",monitor_cpu.exe
17.87,"2024-10-05 19:03:25.297507200 -03:00",monitor_cpu.exe
21.38,"2024-10-05 19:03:25.938367400 -03:00",monitor_cpu.exe
16.35,"2024-10-05 19:03:26.199761600 -03:00",Spotify.exe
15.32,"2024-10-05 19:03:26.229037 -03:00",Spotify.exe
13.79,"2024-10-05 19:03:26.315385600 -03:00",Spotify.exe
10.94,"2024-10-05 19:03:26.956044 -03:00",Spotify.exe
11.38,"2024-10-05 19:03:27.230227900 -03:00",monitor_cpu.exe
13.10,"2024-10-05 19:03:27.253531500 -03:00",monitor_cpu.exe
13.31,"2024-10-05 19:03:27.333558200 -03:00",chrome.exe
17.14,"2024-10-05 19:03:27.974157700 -03:00",chrome.exe
16.43,"2024-10-05 19:03:28.246021300 -03:00",monitor_cpu.exe
